date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:45	39212/39212	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:42%20GMT	https://necs.com/training.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/training.html	(from https://necs.com/net/)
20:28:45	43013/43013	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:43%20GMT	https://necs.com/edi/	/home/shawnm/websites/tjcandyFullSiter/necs.com/edi/index.html	(from https://necs.com/net/)
20:28:45	44088/44088	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:43%20GMT	https://necs.com/fs/	/home/shawnm/websites/tjcandyFullSiter/necs.com/fs/index.html	(from https://necs.com/net/)
20:28:47	41432/41432	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:44%20GMT	https://necs.com/calendar.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/calendar.html	(from https://necs.com/net/)
20:28:47	48661/48661	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:44%20GMT	https://necs.com/dot/	/home/shawnm/websites/tjcandyFullSiter/necs.com/dot/index.html	(from https://necs.com/net/)
20:28:47	44422/44422	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:45%20GMT	https://necs.com/gl/	/home/shawnm/websites/tjcandyFullSiter/necs.com/gl/index.html	(from https://necs.com/net/)
20:28:47	44645/44645	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:45%20GMT	https://necs.com/mw/	/home/shawnm/websites/tjcandyFullSiter/necs.com/mw/index.html	(from https://necs.com/net/)
20:28:49	38720/38720	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:46%20GMT	https://necs.com/docsearch.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/docsearch.html	(from https://necs.com/net/)
20:28:49	49076/49076	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:47%20GMT	https://necs.com/orderpad/	/home/shawnm/websites/tjcandyFullSiter/necs.com/orderpad/index.html	(from https://necs.com/net/)
20:28:49	40558/40558	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:47%20GMT	https://necs.com/ptv/	/home/shawnm/websites/tjcandyFullSiter/necs.com/ptv/index.html	(from https://necs.com/net/)
20:28:49	45630/45630	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:47%20GMT	https://necs.com/qb/	/home/shawnm/websites/tjcandyFullSiter/necs.com/qb/index.html	(from https://necs.com/net/)
20:28:51	38529/38529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:48%20GMT	https://necs.com/custom-programming.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/custom-programming.html	(from https://necs.com/net/)
20:28:51	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2014%20Jul%202020%2003:28:49%20GMT	https://necs.com/anoto/	/home/shawnm/websites/tjcandyFullSiter/necs.com/anoto/index.html	(from https://necs.com/net/)
20:28:51	50441/50441	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:49%20GMT	https://necs.com/dsr/	/home/shawnm/websites/tjcandyFullSiter/necs.com/dsr/index.html	(from https://necs.com/net/)
20:28:51	52907/52907	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:49%20GMT	https://necs.com/ewm/	/home/shawnm/websites/tjcandyFullSiter/necs.com/ewm/index.html	(from https://necs.com/net/)
20:28:53	35826/35826	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:50%20GMT	https://necs.com/remotesupport.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/remotesupport.html	(from https://necs.com/net/)
20:28:53	47363/47363	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:51%20GMT	https://necs.com/website-for-food-distributors/	/home/shawnm/websites/tjcandyFullSiter/necs.com/website-for-food-distributors/index.html	(from https://necs.com/net/)
20:28:53	44275/44275	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:51%20GMT	https://necs.com/support/	/home/shawnm/websites/tjcandyFullSiter/necs.com/support/index.html	(from https://necs.com/net/)
20:28:53	71232/71232	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:51%20GMT	https://necs.com/pod/	/home/shawnm/websites/tjcandyFullSiter/necs.com/pod/index.html	(from https://necs.com/net/)
20:28:55	48357/48357	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:52%20GMT	https://necs.com/blog.php	/home/shawnm/websites/tjcandyFullSiter/necs.com/blog.html	(from https://necs.com/net/)
20:28:55	38922/38922	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2003:28:53%20GMT	https://necs.com/emergency/	/home/shawnm/websites/tjcandyFullSiter/necs.com/emergency/index.html	(from https://necs.com/net/)
